block_id,sample_idx,uptime_ms,pms_pm1,pms_pm25,pms_pm10,pms_n0_3,pms_n0_5,pms_n1_0,pms_n2_5,pms_n5_0,pms_n10,sds_pm25,sds_pm10,temp_c,hum_pct,press_hpa,alt_m
1,0,5382,46,57,67,3918,1278,48,8,2,0,-1,-1,27.34,61.22,1008.85,36.71
1,1,10382,25,31,39,2013,649,66,14,6,2,-1,-1,27.34,61.25,1008.86,36.64
1,2,15382,10,19,25,1209,389,78,18,6,2,-1,-1,27.36,61.28,1008.83,36.87
1,3,20382,7,17,25,1053,329,72,22,6,2,-1,-1,27.36,61.35,1008.86,36.57
1,4,25382,5,17,20,1005,304,76,18,2,0,-1,-1,27.37,61.39,1008.91,36.21
1,5,30382,4,16,22,837,246,80,24,4,2,-1,-1,27.37,61.45,1008.91,36.21
1,6,35382,4,16,22,855,262,74,24,6,2,-1,-1,27.39,61.50,1008.88,36.44
1,7,40382,4,17,26,894,287,98,28,8,2,-1,-1,27.39,61.53,1008.94,35.92
1,8,45382,4,17,22,945,298,106,22,4,0,-1,-1,27.39,61.61,1008.89,36.37
1,9,50382,5,17,22,1014,323,96,18,4,0,-1,-1,27.40,61.66,1008.92,36.07
1,10,55382,5,17,21,1020,327,96,16,6,0,-1,-1,27.42,61.73,1008.92,36.08
1,11,60382,5,17,25,972,311,90,28,8,4,-1,-1,27.41,61.80,1008.84,36.82
1,12,65382,5,15,24,945,292,88,26,8,4,-1,-1,27.42,61.87,1008.87,36.52
1,13,70382,4,16,22,918,281,96,28,4,4,-1,-1,27.42,61.92,1008.88,36.45
1,14,75382,4,16,22,888,280,114,22,4,4,-1,-1,27.43,61.99,1008.92,36.09
1,15,80382,4,18,18,921,288,120,16,0,0,-1,-1,27.43,62.05,1008.87,36.53
1,16,85382,4,19,22,1035,313,132,18,2,2,-1,-1,27.44,62.12,1008.91,36.16
1,17,90382,4,18,23,1095,327,126,20,4,2,-1,-1,27.44,62.19,1008.83,36.83
1,18,95382,6,22,29,1299,392,136,28,6,2,-1,-1,27.45,62.25,1008.92,36.09
1,19,100382,8,25,29,1311,415,118,30,4,0,-1,-1,27.45,62.32,1008.84,36.76
1,20,105382,6,22,24,1125,359,110,28,4,0,-1,-1,27.46,62.38,1008.87,36.55
1,21,110382,5,21,23,1104,333,114,28,2,2,-1,-1,27.46,62.47,1008.87,36.55
1,22,115382,5,20,26,1134,337,118,30,4,4,-1,-1,27.47,62.54,1008.88,36.48
1,23,120382,4,24,32,1158,347,152,38,8,4,-1,-1,27.48,62.64,1009.00,35.44
1,24,125382,2,22,25,879,273,142,34,4,0,-1,-1,27.48,62.65,1008.90,36.26
1,25,130382,2,19,22,882,276,128,30,2,0,-1,-1,27.49,62.74,1008.89,36.34
1,26,135382,2,19,24,963,295,130,34,2,0,-1,-1,27.49,62.82,1008.83,36.86
1,27,140382,5,19,26,1131,339,116,30,4,2,-1,-1,27.50,62.90,1008.91,36.20
1,28,145382,5,22,26,1266,369,130,30,2,2,-1,-1,27.51,62.96,1008.92,36.13
1,29,150382,4,17,27,1113,325,130,28,8,6,-1,-1,27.51,63.03,1008.92,36.13
1,30,155382,4,19,31,1140,336,138,32,10,6,-1,-1,27.51,63.11,1008.87,36.50
1,31,160382,4,19,40,1071,321,144,48,18,12,-1,-1,27.51,63.20,1008.89,36.35
1,32,165382,4,17,37,990,296,126,48,18,10,-1,-1,27.52,63.31,1008.86,36.58
1,33,170382,5,19,34,1038,317,122,44,14,8,-1,-1,27.52,63.39,1008.83,36.88
1,34,175382,5,20,26,1056,328,116,36,6,2,-1,-1,27.53,63.46,1008.88,36.43
1,35,180382,5,20,26,1086,329,110,34,6,2,-1,-1,27.53,63.56,1008.87,36.51
1,36,185382,5,21,25,1194,362,126,30,4,2,-1,-1,27.53,63.62,1008.83,36.88
1,37,190382,4,20,29,1119,326,131,36,10,6,-1,-1,27.54,63.74,1008.93,36.07
1,38,195382,2,18,35,918,268,139,36,18,8,-1,-1,27.55,63.81,1008.93,36.00
1,39,200382,2,17,29,942,279,126,28,12,6,-1,-1,27.55,63.88,1008.94,35.92
1,40,205382,4,19,31,1122,336,124,32,14,6,-1,-1,27.56,63.99,1008.84,36.74
1,41,210382,5,20,30,1119,338,114,38,10,6,-1,-1,27.55,64.14,1008.81,37.04
1,42,215382,6,20,28,1218,376,104,36,8,4,-1,-1,27.56,64.18,1008.91,36.23
1,43,220382,5,22,28,1122,346,134,34,6,4,-1,-1,27.56,64.29,1008.93,36.00
1,44,225382,4,22,29,1059,322,148,34,6,2,-1,-1,27.57,64.38,1008.95,35.86
1,45,230382,4,21,29,1155,338,140,34,6,2,-1,-1,27.58,64.50,1008.83,36.90
1,46,235382,4,21,34,1113,336,144,44,10,6,-1,-1,27.58,64.60,1008.83,36.83
1,47,240382,5,20,30,1254,371,136,28,8,6,-1,-1,27.60,64.71,1008.94,35.95
1,48,245382,4,21,25,1209,351,148,20,4,2,-1,-1,27.58,64.83,1008.83,36.83
1,49,250382,4,20,29,1230,355,134,28,8,4,-1,-1,27.60,64.92,1008.86,36.62
1,50,255382,4,21,28,1233,372,140,30,6,4,-1,-1,27.60,65.03,1008.95,35.87
1,51,260382,4,23,29,1263,382,163,28,2,0,-1,-1,27.60,65.14,1008.95,35.87
1,52,265382,2,25,29,1176,348,173,32,4,0,-1,-1,27.61,65.29,1008.83,36.85
1,53,270382,4,27,37,1233,359,175,46,10,4,-1,-1,27.61,65.39,1008.91,36.18
1,54,275382,4,23,32,1167,342,136,38,10,4,-1,-1,27.62,65.50,1008.85,36.70
1,55,280382,4,22,27,1116,332,148,26,8,0,-1,-1,27.62,65.62,1008.96,35.81
1,56,285382,4,23,32,1092,336,160,34,10,2,-1,-1,27.64,65.76,1008.96,35.82
1,57,290382,5,28,40,1314,403,162,52,14,4,-1,-1,27.64,65.89,1008.90,36.27
1,58,295382,6,22,32,1338,405,120,34,10,6,-1,-1,27.65,66.03,1008.95,35.90
1,59,300382,8,21,31,1389,413,116,30,10,6,-1,-1,27.65,66.15,1008.87,36.57
1,60,305382,8,23,32,1437,428,124,32,10,6,-1,-1,27.66,66.32,1008.94,35.91
1,61,310382,6,23,34,1404,416,144,32,12,4,-1,-1,27.66,66.45,1008.96,35.76
1,62,315382,5,22,31,1281,377,146,30,8,2,-1,-1,27.67,66.57,1008.93,36.06
1,63,320382,4,21,25,1119,347,144,32,4,0,-1,-1,27.66,66.71,1008.92,36.13
1,64,325382,4,24,27,1146,355,144,40,2,0,-1,-1,27.67,66.87,1008.91,36.21
1,65,330382,5,24,30,1191,357,126,44,6,4,-1,-1,27.68,67.02,1008.97,35.69
1,66,335382,8,28,38,1404,432,146,46,8,8,-1,-1,27.69,67.17,1008.93,35.99
1,67,340382,10,31,39,1635,493,152,44,8,8,-1,-1,27.69,67.31,1008.93,35.99
