I (371) PMS7003: Init done (UART=2 TX=17 RX=16)
I (371) PMS7003: PMS7003 task started
I (381) APP: PMS7003 started
I (591) BME280_ENV: BME280 init OK (addr 0x76)
I (591) BME280_ENV: BME280 task started
I (591) APP: BME280 started
I (591) SDS011: SDS011 init OK (UART1, TX=33, RX=32)
I (591) SDS011: SDS011 task started
I (591) APP: SDS011 started
I (591) AIR_LOG: AirSense logger task started: sample every 5000 ms, 180 samples per block (~15 min)
I (601) APP: Logger started
I (611) APP: ===== Init done, main loop idle =====
I (5601) AIR_LOG: === Start logging block #1 (duration ~15 min) ===
I (5601) AIR_LOG: t=5302 ms | PMS: OK PM1=35 PM2.5=43 PM10=55 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.47C H=63.8% P=1012.61hPa Alt=5.3m
I (10601) AIR_LOG: t=10302 ms | PMS: OK PM1=52 PM2.5=66 PM10=82 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.49C H=63.7% P=1012.62hPa Alt=5.2m
I (15601) AIR_LOG: t=15302 ms | PMS: OK PM1=61 PM2.5=72 PM10=93 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.51C H=63.7% P=1012.60hPa Alt=5.4m
I (20601) AIR_LOG: t=20302 ms | PMS: OK PM1=63 PM2.5=75 PM10=96 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.51C H=63.6% P=1012.64hPa Alt=5.1m
I (25601) AIR_LOG: t=25302 ms | PMS: OK PM1=42 PM2.5=60 PM10=78 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.52C H=63.6% P=1012.67hPa Alt=4.8m
I (30601) AIR_LOG: t=30302 ms | PMS: OK PM1=13 PM2.5=36 PM10=46 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.53C H=63.5% P=1012.65hPa Alt=5.0m
I (35601) AIR_LOG: t=35302 ms | PMS: OK PM1=13 PM2.5=33 PM10=46 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.54C H=63.5% P=1012.73hPa Alt=4.3m
I (40601) AIR_LOG: t=40302 ms | PMS: OK PM1=12 PM2.5=31 PM10=46 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.54C H=63.4% P=1012.61hPa Alt=5.3m
I (45601) AIR_LOG: t=45302 ms | PMS: OK PM1=12 PM2.5=34 PM10=53 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.55C H=63.4% P=1012.63hPa Alt=5.2m
I (50601) AIR_LOG: t=50302 ms | PMS: OK PM1=10 PM2.5=30 PM10=49 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.56C H=63.4% P=1012.64hPa Alt=5.1m
I (55601) AIR_LOG: t=55302 ms | PMS: OK PM1=10 PM2.5=30 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.56C H=63.3% P=1012.61hPa Alt=5.3m
I (60601) AIR_LOG: t=60302 ms | PMS: OK PM1=11 PM2.5=33 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.57C H=63.3% P=1012.63hPa Alt=5.2m
I (65601) AIR_LOG: t=65302 ms | PMS: OK PM1=12 PM2.5=32 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.57C H=63.2% P=1012.64hPa Alt=5.1m
I (70601) AIR_LOG: t=70302 ms | PMS: OK PM1=13 PM2.5=30 PM10=40 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.57C H=63.3% P=1012.64hPa Alt=5.1m
I (75601) AIR_LOG: t=75302 ms | PMS: OK PM1=11 PM2.5=32 PM10=47 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.58C H=63.3% P=1012.62hPa Alt=5.3m
I (80601) AIR_LOG: t=80302 ms | PMS: OK PM1=9 PM2.5=29 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.58C H=63.2% P=1012.59hPa Alt=5.5m
I (85601) AIR_LOG: t=85302 ms | PMS: OK PM1=11 PM2.5=31 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.59C H=63.2% P=1012.61hPa Alt=5.4m
I (90601) AIR_LOG: t=90302 ms | PMS: OK PM1=11 PM2.5=31 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.59C H=63.2% P=1012.63hPa Alt=5.1m
I (95601) AIR_LOG: t=95302 ms | PMS: OK PM1=12 PM2.5=35 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.59C H=63.2% P=1012.62hPa Alt=5.3m
I (100601) AIR_LOG: t=100302 ms | PMS: OK PM1=12 PM2.5=39 PM10=49 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.60C H=63.1% P=1012.63hPa Alt=5.1m
I (105601) AIR_LOG: t=105302 ms | PMS: OK PM1=10 PM2.5=36 PM10=49 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.60C H=63.1% P=1012.65hPa Alt=5.0m
I (110601) AIR_LOG: t=110302 ms | PMS: OK PM1=10 PM2.5=29 PM10=43 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.61C H=63.1% P=1012.70hPa Alt=4.6m
I (115601) AIR_LOG: t=115302 ms | PMS: OK PM1=10 PM2.5=29 PM10=47 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.61C H=63.1% P=1012.62hPa Alt=5.2m
I (120601) AIR_LOG: t=120302 ms | PMS: OK PM1=9 PM2.5=25 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.61C H=62.8% P=1012.62hPa Alt=5.3m
I (125601) AIR_LOG: t=125302 ms | PMS: OK PM1=8 PM2.5=29 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.62C H=63.0% P=1012.75hPa Alt=4.2m
I (130601) AIR_LOG: t=130302 ms | PMS: OK PM1=9 PM2.5=32 PM10=43 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.61C H=63.0% P=1012.68hPa Alt=4.8m
I (135601) AIR_LOG: t=135302 ms | PMS: OK PM1=11 PM2.5=34 PM10=45 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.63C H=63.0% P=1012.66hPa Alt=4.9m
I (140601) AIR_LOG: t=140302 ms | PMS: OK PM1=10 PM2.5=34 PM10=43 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.63C H=63.0% P=1012.71hPa Alt=4.5m
I (145601) AIR_LOG: t=145302 ms | PMS: OK PM1=10 PM2.5=29 PM10=34 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.63C H=63.0% P=1012.62hPa Alt=5.2m
I (150601) AIR_LOG: t=150302 ms | PMS: OK PM1=9 PM2.5=25 PM10=32 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.64C H=62.9% P=1012.67hPa Alt=4.9m
I (155601) AIR_LOG: t=155302 ms | PMS: OK PM1=8 PM2.5=26 PM10=30 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.65C H=62.8% P=1012.63hPa Alt=5.2m
I (160601) AIR_LOG: t=160302 ms | PMS: OK PM1=6 PM2.5=29 PM10=33 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.65C H=62.9% P=1012.67hPa Alt=4.9m
I (165601) AIR_LOG: t=165302 ms | PMS: OK PM1=8 PM2.5=30 PM10=35 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.65C H=62.9% P=1012.60hPa Alt=5.4m
I (170601) AIR_LOG: t=170302 ms | PMS: OK PM1=12 PM2.5=37 PM10=38 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.66C H=62.9% P=1012.67hPa Alt=4.8m
I (175601) AIR_LOG: t=175302 ms | PMS: OK PM1=12 PM2.5=36 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.66C H=62.8% P=1012.60hPa Alt=5.4m
I (180601) AIR_LOG: t=180302 ms | PMS: OK PM1=11 PM2.5=31 PM10=34 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.66C H=62.8% P=1012.66hPa Alt=4.9m
I (185601) AIR_LOG: t=185302 ms | PMS: OK PM1=9 PM2.5=29 PM10=38 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.68C H=62.8% P=1012.63hPa Alt=5.2m
I (190601) AIR_LOG: t=190302 ms | PMS: OK PM1=8 PM2.5=27 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.68C H=62.8% P=1012.68hPa Alt=4.7m
I (195601) AIR_LOG: t=195302 ms | PMS: OK PM1=8 PM2.5=29 PM10=35 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.68C H=62.8% P=1012.63hPa Alt=5.2m
I (200601) AIR_LOG: t=200302 ms | PMS: OK PM1=9 PM2.5=31 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.68C H=62.7% P=1012.64hPa Alt=5.1m
I (205601) AIR_LOG: t=205302 ms | PMS: OK PM1=9 PM2.5=31 PM10=38 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.69C H=62.7% P=1012.59hPa Alt=5.5m
I (210601) AIR_LOG: t=210302 ms | PMS: OK PM1=8 PM2.5=32 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.69C H=62.7% P=1012.71hPa Alt=4.5m
I (215601) AIR_LOG: t=215302 ms | PMS: OK PM1=8 PM2.5=29 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.70C H=62.7% P=1012.62hPa Alt=5.3m
I (220601) AIR_LOG: t=220302 ms | PMS: OK PM1=8 PM2.5=28 PM10=41 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.70C H=62.7% P=1012.64hPa Alt=5.1m
I (225601) AIR_LOG: t=225302 ms | PMS: OK PM1=9 PM2.5=29 PM10=42 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.70C H=62.7% P=1012.65hPa Alt=5.0m
I (230601) AIR_LOG: t=230302 ms | PMS: OK PM1=6 PM2.5=28 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.72C H=62.7% P=1012.67hPa Alt=4.8m
I (235601) AIR_LOG: t=235302 ms | PMS: OK PM1=6 PM2.5=25 PM10=33 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.72C H=62.7% P=1012.67hPa Alt=4.8m
I (285601) AIR_LOG: t=285302 ms | PMS: OK PM1=8 PM2.5=33 PM10=40 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.77C H=62.5% P=1012.67hPa Alt=4.8m      
I (290601) AIR_LOG: t=290302 ms | PMS: OK PM1=9 PM2.5=33 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.77C H=62.5% P=1012.67hPa Alt=4.8m      
I (295601) AIR_LOG: t=295302 ms | PMS: OK PM1=9 PM2.5=29 PM10=35 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.77C H=62.4% P=1012.64hPa Alt=5.1m      
I (300601) AIR_LOG: t=300302 ms | PMS: OK PM1=8 PM2.5=27 PM10=35 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.78C H=62.4% P=1012.61hPa Alt=5.3m      
I (305601) AIR_LOG: t=305302 ms | PMS: OK PM1=5 PM2.5=25 PM10=32 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.78C H=62.4% P=1012.72hPa Alt=4.4m      
I (310601) AIR_LOG: t=310302 ms | PMS: OK PM1=6 PM2.5=27 PM10=42 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.79C H=62.4% P=1012.69hPa Alt=4.7m      
I (315601) AIR_LOG: t=315302 ms | PMS: OK PM1=9 PM2.5=30 PM10=46 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.79C H=62.4% P=1012.68hPa Alt=4.8m      
I (320601) AIR_LOG: t=320302 ms | PMS: OK PM1=10 PM2.5=30 PM10=43 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.80C H=62.4% P=1012.69hPa Alt=4.6m     
I (325601) AIR_LOG: t=325302 ms | PMS: OK PM1=9 PM2.5=33 PM10=40 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.79C H=62.3% P=1012.70hPa Alt=4.6m      
I (330601) AIR_LOG: t=330302 ms | PMS: OK PM1=5 PM2.5=28 PM10=32 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.80C H=62.3% P=1012.68hPa Alt=4.8m      
I (335601) AIR_LOG: t=335302 ms | PMS: OK PM1=6 PM2.5=24 PM10=26 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.80C H=62.3% P=1012.61hPa Alt=5.3m      
I (340601) AIR_LOG: t=340302 ms | PMS: OK PM1=7 PM2.5=26 PM10=34 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.81C H=62.3% P=1012.68hPa Alt=4.7m      
I (345601) AIR_LOG: t=345302 ms | PMS: OK PM1=9 PM2.5=26 PM10=37 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.81C H=62.3% P=1012.64hPa Alt=5.1m
I (350601) AIR_LOG: t=350302 ms | PMS: OK PM1=9 PM2.5=27 PM10=38 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.82C H=62.3% P=1012.67hPa Alt=4.8m
I (355601) AIR_LOG: t=355302 ms | PMS: OK PM1=11 PM2.5=31 PM10=43 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.82C H=62.2% P=1012.67hPa Alt=4.8m
I (360601) AIR_LOG: t=360302 ms | PMS: OK PM1=13 PM2.5=32 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.83C H=62.2% P=1012.67hPa Alt=4.9m
I (365601) AIR_LOG: t=365302 ms | PMS: OK PM1=13 PM2.5=34 PM10=40 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.83C H=62.2% P=1012.67hPa Alt=4.9m
I (370601) AIR_LOG: t=370302 ms | PMS: OK PM1=13 PM2.5=32 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.84C H=62.2% P=1012.71hPa Alt=4.5m
I (375601) AIR_LOG: t=375302 ms | PMS: OK PM1=10 PM2.5=26 PM10=35 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.83C H=62.2% P=1012.65hPa Alt=5.0m
I (380601) AIR_LOG: t=380302 ms | PMS: OK PM1=9 PM2.5=25 PM10=33 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.84C H=62.2% P=1012.66hPa Alt=4.9m
I (385601) AIR_LOG: t=385302 ms | PMS: OK PM1=10 PM2.5=25 PM10=34 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.84C H=62.1% P=1012.64hPa Alt=5.1m
I (390601) AIR_LOG: t=390302 ms | PMS: OK PM1=10 PM2.5=27 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.84C H=62.1% P=1012.63hPa Alt=5.2m
